time(s) velocity(m/s) pwm offset_pwm
1584111275.5344312191009521 0.6600001454353333 11971 7000
1584111275.6346571445465088 0.5599997639656067 11917 7000
1584111275.7345199584960938 0.5800002217292786 11882 7000
1584111275.8346102237701416 0.5599997639656067 11847 7000
1584111275.9349110126495361 0.5599997639656067 11817 7000
1584111276.0347943305969238 0.5499995350837708 11790 7000
1584111276.1346921920776367 0.5599997639656067 11762 7000
1584111276.2348122596740723 0.6000006794929504 11721 7000
1584111276.3346071243286133 0.5400012135505676 11688 7000
1584111276.4344730377197266 0.3500006794929504 11717 7000
1584111276.5348563194274902 0.3899996876716614 11782 7000
1584111276.6347653865814209 0.4700015187263489 11815 7000
1584111276.7347216606140137 0.4399989247322083 11838 7000
1584111276.8349127769470215 0.4700015187263489 11860 7000
1584111276.9346971511840820 0.4699996113777161 11875 7000
1584111277.0345098972320557 0.4500010609626770 11896 7000
1584111277.1350038051605225 0.4500010609626770 11921 7000
1584111277.2348649501800537 0.4699996113777161 11940 7000
1584111277.3348736763000488 0.4399989247322083 11963 7000
1584111277.4349880218505859 0.4300006031990051 11996 7000
1584111277.5348474979400635 0.4200003743171692 12033 7000
1584111277.6348183155059814 0.4400008320808411 12068 7000
1584111277.7350039482116699 0.4400008320808411 12098 7000
1584111277.8347921371459961 0.4399989247322083 12128 7000
1584111277.9346880912780762 0.4300006031990051 12161 7000
1584111278.0350205898284912 0.4599993824958801 12188 7000
1584111278.1346793174743652 0.5000002980232239 12198 7000
1584111278.2346551418304443 0.3899996876716614 12227 7000
1584111278.3349890708923340 0.4700015187263489 12260 7000
1584111278.4347503185272217 0.4900000691413879 12270 7000
1584111278.5183300971984863 0.5000002980232239 12273 7000
1584111278.6347858905792236 0.5000002980232239 12273 7000
1584111278.7347025871276855 0.5000002980232239 12273 7000
1584111278.8346776962280273 0.5100005269050598 12270 7000
1584111278.9348080158233643 0.5200007557868958 12263 7000
1584111279.0347135066986084 0.5100005269050598 12255 7000
1584111279.1346738338470459 0.4699996113777161 12260 7000
1584111279.2350745201110840 0.5400012135505676 12258 7000
1584111279.3350219726562500 0.5399993062019348 12238 7000
1584111279.4347043037414551 0.5699999928474426 12210 7000
1584111279.5347275733947754 0.5300009846687317 12185 7000
1584111279.6347205638885498 0.5099986195564270 12175 7000
1584111279.7345082759857178 0.5300009846687317 12165 7000
1584111279.8350732326507568 0.5100005269050598 12155 7000
1584111279.9347934722900391 0.5100005269050598 12150 7000
1584111280.0184967517852783 0.5200007557868958 12143 7000
1584111280.1351304054260254 0.5100005269050598 12135 7000
1584111280.2184112071990967 0.4900000691413879 12135 7000
1584111280.3347370624542236 0.5000002980232239 12138 7000
1584111280.4345312118530273 0.4500010609626770 12151 7000
1584111280.5345335006713867 0.5100005269050598 12160 7000
1584111280.6180930137634277 0.5100005269050598 12155 7000
1584111280.7349145412445068 0.5499995350837708 12140 7000
1584111280.8347988128662109 0.5100005269050598 12125 7000
1584111280.9184758663177490 0.5199988484382629 12118 7000
1584111281.0348913669586182 0.5000002980232239 12113 7000
